,Height,RewardFee,Transactions,blockchain,nonce,time,Time,AvgFee/Tx
138,786447,0.03505809,66,DASH.main,0,2017-12-13T10:37:20Z,2017-12-13 10:37:20,0.0005311831818181819
139,786446,0.0141858,11,DASH.main,0,2017-12-13T10:28:00Z,2017-12-13 10:28:00,0.0012896181818181818
140,786445,0.0,1,DASH.main,0,2017-12-13T10:27:28Z,2017-12-13 10:27:28,0.0
141,786444,0.0005237,5,DASH.main,0,2017-12-13T10:27:25Z,2017-12-13 10:27:25,0.00010474
142,786443,0.01423139,27,DASH.main,0,2017-12-13T10:26:59Z,2017-12-13 10:26:59,0.0005270885185185185
143,786442,3.263e-05,4,DASH.main,0,2017-12-13T10:23:31Z,2017-12-13 10:23:31,8.1575e-06
144,786441,0.00094967,7,DASH.main,0,2017-12-13T10:23:10Z,2017-12-13 10:23:10,0.00013566714285714285
145,786440,0.00209806,8,DASH.main,0,2017-12-13T10:22:34Z,2017-12-13 10:22:34,0.0002622575
146,786439,0.00582829,26,DASH.main,0,2017-12-13T10:21:31Z,2017-12-13 10:21:31,0.000224165
147,786438,0.01008445,5,DASH.main,0,2017-12-13T10:17:38Z,2017-12-13 10:17:38,0.00201689
148,786437,0.00216105,5,DASH.main,0,2017-12-13T10:16:16Z,2017-12-13 10:16:16,0.00043221
149,786436,0.01030554,8,DASH.main,0,2017-12-13T10:15:39Z,2017-12-13 10:15:39,0.0012881925
150,786435,0.00114,3,DASH.main,0,2017-12-13T10:14:48Z,2017-12-13 10:14:48,0.00037999999999999997
151,786434,0.0010712,10,DASH.main,0,2017-12-13T10:14:16Z,2017-12-13 10:14:16,0.00010712
152,786433,0.00122314,6,DASH.main,0,2017-12-13T10:13:41Z,2017-12-13 10:13:41,0.00020385666666666665
153,786432,0.00157514,5,DASH.main,0,2017-12-13T10:12:54Z,2017-12-13 10:12:54,0.000315028
154,786431,0.0014577,3,DASH.main,0,2017-12-13T10:12:34Z,2017-12-13 10:12:34,0.0004859
155,786430,0.00565604,23,DASH.main,0,2017-12-13T10:12:17Z,2017-12-13 10:12:17,0.00024591478260869564
156,786429,0.02784028,18,DASH.main,0,2017-12-13T10:10:13Z,2017-12-13 10:10:13,0.0015466822222222224
157,786428,0.04039992,102,DASH.main,0,2017-12-13T10:07:39Z,2017-12-13 10:07:39,0.0003960776470588235
158,786427,0.12080593,34,DASH.main,0,2017-12-13T09:55:07Z,2017-12-13 09:55:07,0.0035531155882352937
159,786426,0.00016578,5,DASH.main,0,2017-12-13T09:50:17Z,2017-12-13 09:50:17,3.3156e-05
160,786425,0.00552322,14,DASH.main,0,2017-12-13T09:49:53Z,2017-12-13 09:49:53,0.0003945157142857143
