,Height,RewardFee,Transactions,blockchain,nonce,time,Time,AvgFee/Tx
159,2009171,7.0,8,DOGE.main,0,2017-12-13T13:44:29Z,2017-12-13 13:44:29,0.875
160,2009170,22.06690227,11,DOGE.main,0,2017-12-13T13:43:56Z,2017-12-13 13:43:56,2.0060820245454547
161,2009169,125.53960524,88,DOGE.main,0,2017-12-13T13:43:43Z,2017-12-13 13:43:43,1.4265864231818182
162,2009168,0.0,1,DOGE.main,0,2017-12-13T13:43:31Z,2017-12-13 13:43:31,0.0
163,2009167,0.0,1,DOGE.main,0,2017-12-13T13:42:34Z,2017-12-13 13:42:34,0.0
164,2009166,7.0,7,DOGE.main,0,2017-12-13T13:40:47Z,2017-12-13 13:40:47,1.0
165,2009165,92.62413292,49,DOGE.main,0,2017-12-13T13:40:25Z,2017-12-13 13:40:25,1.890288426938776
166,2009164,85.54537862000002,52,DOGE.main,0,2017-12-13T13:38:30Z,2017-12-13 13:38:30,1.6451034350000002
167,2009163,0.0,1,DOGE.main,0,2017-12-13T13:37:14Z,2017-12-13 13:37:14,0.0
168,2009162,20.0,21,DOGE.main,0,2017-12-13T13:35:48Z,2017-12-13 13:35:48,0.9523809523809524
169,2009161,0.0,1,DOGE.main,0,2017-12-13T13:35:45Z,2017-12-13 13:35:45,0.0
170,2009160,3.0,5,DOGE.main,0,2017-12-13T13:34:36Z,2017-12-13 13:34:36,0.6
171,2009159,5.1000000000000005,9,DOGE.main,0,2017-12-13T13:34:24Z,2017-12-13 13:34:24,0.5666666666666668
172,2009158,111.70355846,47,DOGE.main,0,2017-12-13T13:34:04Z,2017-12-13 13:34:04,2.3766714565957447
173,2009157,0.0,1,DOGE.main,0,2017-12-13T13:33:42Z,2017-12-13 13:33:42,0.0
174,2009156,45.07343295,36,DOGE.main,0,2017-12-13T13:31:51Z,2017-12-13 13:31:51,1.2520398041666667
175,2009155,8.001197,10,DOGE.main,0,2017-12-13T13:30:12Z,2017-12-13 13:30:12,0.8001196999999999
176,2009154,79.43772289,48,DOGE.main,0,2017-12-13T13:29:48Z,2017-12-13 13:29:48,1.6549525602083337
177,2009153,12.53730469,11,DOGE.main,0,2017-12-13T13:27:29Z,2017-12-13 13:27:29,1.139754971818182
178,2009152,13.0002,5,DOGE.main,0,2017-12-13T13:26:48Z,2017-12-13 13:26:48,2.6000400000000004
179,2009151,12.00000012,14,DOGE.main,0,2017-12-13T13:26:35Z,2017-12-13 13:26:35,0.8571428657142858
180,2009150,105.61042729,62,DOGE.main,0,2017-12-13T13:25:52Z,2017-12-13 13:25:52,1.703393988548387
181,2009149,12.99999997,15,DOGE.main,0,2017-12-13T13:22:35Z,2017-12-13 13:22:35,0.8666666646666668
182,2009148,59.95306747,27,DOGE.main,0,2017-12-13T13:22:10Z,2017-12-13 13:22:10,2.2204839803703704
183,2009147,17.859436810000005,20,DOGE.main,0,2017-12-13T13:20:49Z,2017-12-13 13:20:49,0.8929718405000001
184,2009146,124.00247571,63,DOGE.main,0,2017-12-13T13:20:09Z,2017-12-13 13:20:09,1.9682932652380951
185,2009145,5.00629456,7,DOGE.main,0,2017-12-13T13:17:47Z,2017-12-13 13:17:47,0.7151849371428571
186,2009144,25.1902,40,DOGE.main,0,2017-12-13T13:17:36Z,2017-12-13 13:17:36,0.6297550000000001
