,Height,RewardFee,Transactions,blockchain,nonce,time,Time,AvgFee/Tx
56,1331458,1.02194009,308,LTC.main,0,2017-12-13T14:07:30Z,2017-12-13 14:07:30,0.003317987305194805
57,1331457,0.59316988,191,LTC.main,0,2017-12-13T14:05:24Z,2017-12-13 14:05:24,0.003105601465968586
58,1331456,0.6205006200000001,206,LTC.main,0,2017-12-13T14:03:13Z,2017-12-13 14:03:13,0.003012138932038835
59,1331455,1.14952779,384,LTC.main,0,2017-12-13T14:01:06Z,2017-12-13 14:01:06,0.002993561953125
60,1331454,0.5552679,105,LTC.main,0,2017-12-13T13:57:11Z,2017-12-13 13:57:11,0.005288265714285714
61,1331453,0.93127186,305,LTC.main,0,2017-12-13T13:55:37Z,2017-12-13 13:55:37,0.0030533503606557373
62,1331452,0.3982865,558,LTC.main,0,2017-12-13T13:52:18Z,2017-12-13 13:52:18,0.0007137750896057348
63,1331451,3.85921755,916,LTC.main,0,2017-12-13T13:52:14Z,2017-12-13 13:52:14,0.004213119596069868
64,1331450,0.31044219,21,LTC.main,0,2017-12-13T13:47:56Z,2017-12-13 13:47:56,0.014782961428571427
65,1331449,0.34960856,96,LTC.main,0,2017-12-13T13:36:11Z,2017-12-13 13:36:11,0.003641755833333333
66,1331448,0.21501213,56,LTC.main,0,2017-12-13T13:35:09Z,2017-12-13 13:35:09,0.003839502321428572
67,1331447,0.35437329999999995,115,LTC.main,0,2017-12-13T13:34:37Z,2017-12-13 13:34:37,0.0030815069565217393
68,1331446,0.95486211,264,LTC.main,0,2017-12-13T13:33:31Z,2017-12-13 13:33:31,0.0036169019318181813
69,1331445,0.20351092,65,LTC.main,0,2017-12-13T13:30:57Z,2017-12-13 13:30:57,0.003130937230769231
70,1331444,0.81826722,271,LTC.main,0,2017-12-13T13:29:58Z,2017-12-13 13:29:58,0.003019436236162361
71,1331443,1.76599589,597,LTC.main,0,2017-12-13T13:26:32Z,2017-12-13 13:26:32,0.002958117068676717
72,1331442,0.14164096,238,LTC.main,0,2017-12-13T13:20:46Z,2017-12-13 13:20:46,0.0005951300840336134
73,1331441,3.15143892,776,LTC.main,0,2017-12-13T13:20:43Z,2017-12-13 13:20:43,0.0040611326288659795
74,1331440,0.99302863,592,LTC.main,0,2017-12-13T13:10:04Z,2017-12-13 13:10:04,0.001677413226351351
75,1331439,2.29269472,401,LTC.main,0,2017-12-13T13:09:26Z,2017-12-13 13:09:26,0.00571744319201995
76,1331438,0.18932499,68,LTC.main,0,2017-12-13T13:00:02Z,2017-12-13 13:00:02,0.002784191029411765
77,1331437,0.33629757,100,LTC.main,0,2017-12-13T12:59:05Z,2017-12-13 12:59:05,0.0033629757
78,1331436,0.04747806,29,LTC.main,0,2017-12-13T12:58:15Z,2017-12-13 12:58:15,0.0016371744827586208
79,1331435,1.89700138,567,LTC.main,0,2017-12-13T12:58:00Z,2017-12-13 12:58:00,0.003345681446208113
80,1331434,0.04237133,16,LTC.main,0,2017-12-13T12:52:09Z,2017-12-13 12:52:09,0.002648208125
81,1331433,0.33542891,122,LTC.main,0,2017-12-13T12:52:01Z,2017-12-13 12:52:01,0.002749417295081967
82,1331432,0.17985587,44,LTC.main,0,2017-12-13T12:50:26Z,2017-12-13 12:50:26,0.004087633409090909
